date,firstDose.daily.sinovac,firstDose.daily.biontech,firstDose.daily.total,firstDose.cumulative.sinovac,firstDose.cumulative.biontech,firstDose.cumulative.total,secondDose.daily.sinovac,secondDose.daily.biontech,secondDose.daily.total,secondDose.cumulative.sinovac,secondDose.cumulative.biontech,secondDose.cumulative.total,thirdDose.daily.sinovac,thirdDose.daily.biontech,thirdDose.daily.total,thirdDose.cumulative.sinovac,thirdDose.cumulative.biontech,thirdDose.cumulative.total,firstDose.movingAvg.sinovac,firstDose.movingAvg.total,firstDose.movingAvg.biontech,secondDose.movingAvg.sinovac,secondDose.movingAvg.total,secondDose.movingAvg.biontech,thirdDose.movingAvg.sinovac,thirdDose.movingAvg.total,thirdDose.movingAvg.biontech,totalDose.daily.sinovac,totalDose.daily.biontech,totalDose.daily.total,totalDose.cumulative.sinovac,totalDose.cumulative.biontech,totalDose.cumulative.total,totalDose.movingAvg.sinovac,totalDose.movingAvg.biontech,totalDose.movingAvg.total
22/2/2021,47,0,47,47,0,47,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,47,0,47,47,0,47,,,
23/2/2021,532,0,532,579,0,579,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,532,0,532,579,0,579,,,
24/2/2021,0,0,0,579,0,579,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,579,0,579,,,
25/2/2021,0,0,0,579,0,579,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,579,0,579,,,
26/2/2021,6044,0,6044,6623,0,6623,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,6044,0,6044,6623,0,6623,,,
27/2/2021,7039,0,7039,13662,0,13662,1,0,1,1,0,1,0,0,0,0,0,0,,,,,,,,,,7040,0,7040,13663,0,13663,,,
28/2/2021,7015,0,7015,20677,0,20677,0,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,7015,0,7015,20678,0,20678,,,
1/3/2021,6408,0,6408,27085,0,27085,0,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,6408,0,6408,27086,0,27086,,,
2/3/2021,13071,0,13071,40156,0,40156,0,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,13071,0,13071,40157,0,40157,,,
3/3/2021,11666,0,11666,51822,0,51822,2,0,2,3,0,3,0,0,0,0,0,0,,,,,,,,,,11668,0,11668,51825,0,51825,,,
4/3/2021,10389,0,10389,62211,0,62211,0,0,0,3,0,3,0,0,0,0,0,0,8805,8805,,,,,,,,10389,0,10389,62214,0,62214,8805,,8805
5/3/2021,10138,0,10138,72349,0,72349,0,0,0,3,0,3,0,0,0,0,0,0,9389,9389,,,,,,,,10138,0,10138,72352,0,72352,9390,,9390
6/3/2021,11319,336,11655,83668,336,84004,1,0,1,4,0,4,0,0,0,0,0,0,10001,10049,,,,,,,,11320,336,11656,83672,336,84008,10001,,10049
7/3/2021,8120,871,8991,91788,1207,92995,1,0,1,5,0,5,0,0,0,0,0,0,10159,10331,,,,,,,,8121,871,8992,91793,1207,93000,10159,,10332
8/3/2021,9902,923,10825,101690,2130,103820,0,0,0,5,0,5,0,0,0,0,0,0,10658,10962,,,,,,,,9902,923,10825,101695,2130,103825,10658,,10963
9/3/2021,8797,878,9675,110487,3008,113495,1,0,1,6,0,6,0,0,0,0,0,0,10047,10477,,,,,,,,8798,878,9676,110493,3008,113501,10048,,10478
10/3/2021,11001,6020,17021,121488,9028,130516,1,0,1,7,0,7,0,0,0,0,0,0,9952,11242,,,,,,,,11002,6020,17022,121495,9028,130523,9953,,11243
11/3/2021,9597,5763,15360,131085,14791,145876,0,0,0,7,0,7,0,0,0,0,0,0,9839,11952,,,,,,,,9597,5763,15360,131092,14791,145883,9840,,11953
12/3/2021,9594,6728,16322,140679,21519,162198,0,0,0,7,0,7,0,0,0,0,0,0,9761,12836,,,,,,,,9594,6728,16322,140686,21519,162205,9762,,12836
13/3/2021,8554,6326,14880,149233,27845,177078,1,0,1,8,0,8,0,0,0,0,0,0,9366,13296,,,,,,,,8555,6326,14881,149241,27845,177086,9367,,13297
14/3/2021,7940,5680,13620,157173,33525,190698,0,0,0,8,0,8,0,0,0,0,0,0,9341,13958,,,,,,,,7940,5680,13620,157181,33525,190706,9341,,13958
15/3/2021,8966,6397,15363,166139,39922,206061,0,0,0,8,0,8,0,0,0,0,0,0,9207,14606,,,,,,,,8966,6397,15363,166147,39922,206069,9207,,14606
16/3/2021,10228,13099,23327,176367,53021,229388,0,0,0,8,0,8,0,0,0,0,0,0,9411,16556,7145,,,,,,,10228,13099,23327,176375,53021,229396,9412,7145,16556
17/3/2021,13248,11352,24600,189615,64373,253988,1,0,1,9,0,9,0,0,0,0,0,0,9732,17639,7906,,,,,,,13249,11352,24601,189624,64373,253997,9733,7906,17639
18/3/2021,11848,10778,22626,201463,75151,276614,1,0,1,10,0,10,0,0,0,0,0,0,10054,18677,8623,,,,,,,11849,10778,22627,201473,75151,276624,10054,8623,18677
19/3/2021,11795,15809,27604,213258,90960,304218,0,0,0,10,0,10,0,0,0,0,0,0,10368,20289,9920,,,,,,,11795,15809,27604,213268,90960,304228,10369,9920,20289
20/3/2021,11325,15043,26368,224583,106003,330586,0,0,0,10,0,10,0,0,0,0,0,0,10764,21930,11165,,,,,,,11325,15043,26368,224593,106003,330596,10765,11165,21930
